190	74509	19077	55432	0	0
191	58541	20165	38376	0	0
192	45879	22427	23452	0	0
193	62521	24145	38376	0	0
194	100340	21456	78884	0	0
195	58074	23962	34112	0	0
196	71834	22798	49036	0	0
197	68907	24135	44772	0	0
198	64767	22127	42640	0	0
199	83101	21273	61828	0	0
200	90963	20607	70356	0	0
201	71839	22803	49036	0	0
202	55454	23474	31980	0	0
203	61243	24999	36244	0	0
204	116608	20668	95940	0	0
205	62884	22376	40508	0	0
206	94318	23962	70356	0	0
207	111438	26158	85280	0	0
208	37414	20358	17056	0	0
209	125378	23042	102336	0	0
210	85119	23291	61828	0	0
211	83414	23718	59696	0	0
212	108145	27129	81016	0	0
213	55934	21822	34112	0	0
214	93220	22864	70356	0	0
215	69405	24633	44772	0	0
216	81039	27739	53300	0	0
217	76783	29879	46904	0	0
218	59405	21029	38376	0	0
219	98513	21761	76752	0	0
220	123501	27561	95940	0	0
221	81767	22071	59696	0	0
222	74889	25853	49036	0	0
223	69710	24938	44772	0	0
224	121064	27256	93808	0	0
225	78430	31526	46904	0	0
226	87065	20973	66092	0	0
227	85412	25716	59696	0	0
228	88347	26519	61828	0	0
229	103026	22010	81016	0	0
230	82075	24511	57564	0	0
231	89874	25914	63960	0	0
232	52829	22981	29848	0	0
233	62760	24384	38376	0	0
234	111183	21639	89544	0	0
235	62514	26270	36244	0	0
236	80298	20602	59696	0	0
237	71238	28598	42640	0	0
238	77021	25853	51168	0	0
239	90051	21827	68224	0	0
240	69342	26702	42640	0	0
241	63610	18838	44772	0	0
242	90174	26214	63960	0	0
243	50641	22925	27716	0	0
244	87132	25304	61828	0	0
245	50814	23098	27716	0	0
246	69638	20602	49036	0	0
247	76850	34210	42640	0	0
248	109123	25975	83148	0	0
249	63234	18462	44772	0	0
250	101702	33478	68224	0	0
251	73727	22559	51168	0	0
252	72081	25177	46904	0	0
253	71662	26890	44772	0	0
254	51481	17369	34112	0	0
255	59408	23164	36244	0	0
256	79082	25782	53300	0	0
257	68549	25909	42640	0	0
258	112289	24877	87412	0	0
259	27605	19077	8528	0	0
260	103401	28781	74620	0	0
261	63070	24694	38376	0	0
262	69461	24689	44772	0	0
263	81166	27866	53300	0	0
264	77382	26214	51168	0	0
265	94330	32502	61828	0	0
266	40866	13150	27716	0	0
267	85189	29757	55432	0	0
268	90060	28232	61828	0	0
269	48080	24628	23452	0	0
270	127638	27434	100204	0	0
271	54534	22554	31980	0	0
272	53806	28222	25584	0	0
273	55441	21329	34112	0	0
274	102977	30489	72488	0	0
